stick_id,member_id,member_group,lane,piece_index,s0_mm,s1_mm,cut_length_mm,x0_mm,y0_mm,z0_mm,x1_mm,y1_mm,z1_mm,N_piece_N,sigma_axial_piece_MPa,member_state,mass_g
M135-L01-P01,135,diagonal,1,1,0.0,120.0,120.0,900.0,85.0,0.0,967.6004189569812,85.0,99.14728113690572,28.128052435214688,2.6788621366871133,tension,1.4
M135-L01-P02,135,diagonal,1,2,90.0,177.5136927425913,87.5136927425913,950.7003142177359,85.0,74.36046085267928,1000.0,85.0,146.66666666666666,28.128052435214688,2.6788621366871133,tension,1.0209930819968984
M135-L02-P01,135,diagonal,2,1,0.0,120.0,120.0,900.0,85.0,0.0,967.6004189569812,85.0,99.14728113690572,28.128052435214688,2.6788621366871133,tension,1.4
M135-L02-P02,135,diagonal,2,2,90.0,177.5136927425913,87.5136927425913,950.7003142177359,85.0,74.36046085267928,1000.0,85.0,146.66666666666666,28.128052435214688,2.6788621366871133,tension,1.0209930819968984
M135-L03-P01,135,diagonal,3,1,0.0,120.0,120.0,900.0,85.0,0.0,967.6004189569812,85.0,99.14728113690572,28.128052435214688,2.6788621366871133,tension,1.4
M135-L03-P02,135,diagonal,3,2,90.0,177.5136927425913,87.5136927425913,950.7003142177359,85.0,74.36046085267928,1000.0,85.0,146.66666666666666,28.128052435214688,2.6788621366871133,tension,1.0209930819968984
M136-L01-P01,136,chord_lacing,1,1,0.0,120.0,120.0,900.0,85.0,0.0,967.6004189569812,85.0,99.14728113690572,28.12805243521469,2.6788621366871133,tension,1.4
M136-L01-P02,136,chord_lacing,1,2,90.0,177.5136927425913,87.5136927425913,950.7003142177359,85.0,74.36046085267928,1000.0,85.0,146.66666666666666,28.12805243521469,2.6788621366871133,tension,1.0209930819968984
M137-L01-P01,137,diagonal,1,1,0.0,120.0,120.0,1000.0,85.0,0.0,1080.7207352795574,85.0,88.79280880751324,39.59405279478944,3.7708621709323276,tension,1.4
M137-L01-P02,137,diagonal,1,2,90.0,148.66068747318505,58.66068747318505,1060.5405514596682,85.0,66.59460660563494,1100.0,85.0,110.0,39.59405279478944,3.7708621709323276,tension,0.6843746871871589
