member_id,group,role,n_lanes_sticks,pieces_per_lane,total_piece_count,member_length_mm,layout,section_A_mm2,section_Iy_mm4,section_Iz_mm4,section_J_mm4_est,radius_y_mm,radius_z_mm,slenderness_y,slenderness_z,N_member_N,N_per_lane_N,sigma_axial_member_MPa,sigma_axial_piece_MPa,M_imperfection_Nmm,sigma_bending_est_MPa,sigma_combined_est_MPa,glue_area_total_mm2,glue_mass_est_g,FS_min_global,FS_min_global_label,FS_min_glue,FS_min_glue_label,governing_mode_global,report_mode_global,suggested_action
38,vertical,primary,3,3,9,220.0,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,169.3560789622902,108.87176504718657,-60.53137224372144,-20.177124081240482,-1.9216308648800458,-1.921630864880046,121.06274448744288,5.124348973013456,10.340204177687866,1260.0,0.31015384615384617,1.0744332751710934,1.074,18.213695793330633,18.214,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
39,vertical,primary,3,2,6,183.33333333333331,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,141.1300658019085,90.72647087265547,-74.65172065685294,-24.883906885617648,-2.3698958938683474,-2.3698958938683474,149.3034413137059,6.3197223836489265,12.752296952720155,630.0,0.15507692307692308,1.254534587277605,1.255,14.76858122357012,14.769,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
40,vertical,primary,3,2,6,146.66666666666666,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,112.9040526415268,72.58117669812437,-96.12942762576435,-32.04314254192145,-3.0517278611353764,-3.051727861135376,192.2588552515287,8.13794096302767,16.42120230039512,630.0,0.15507692307692308,1.522250520029418,1.522,11.468912561219817,11.469,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
41,vertical,primary,3,1,3,109.99999999999999,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,84.67803948114509,54.43588252359328,-130.76504141906125,-43.58834713968708,-4.151271156160674,-4.151271156160674,261.5300828381225,11.070056416428464,22.337792411721722,0.0,0.0,1.2374081271572437,1.237,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
42,vertical,primary,3,1,3,73.33333333333331,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,56.452026320763395,36.290588349062176,-198.34238016950218,-66.11412672316739,-6.296583497444513,-6.296583497444513,396.68476033900436,16.790889326518702,33.881615962439525,0.0,0.0,0.8158101403326833,0.816,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
43,vertical,primary,3,1,3,73.33333333333331,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,56.452026320763395,36.290588349062176,0.06623233825943706,0.02207744608647902,0.002102613912998002,0.002102613912998002,0.0,0.0,0.002102613912998002,0.0,0.0,31981.905752786628,31981.906,,sem solicitação,tension_capacity,tension_capacity,manter
44,diagonal,primary,3,2,6,124.0071682515885,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,95.46076262866377,61.36763311842671,0.17172829846238954,0.05724276615412985,0.005451692014679033,0.005451692014679033,0.0,0.0,0.005451692014679033,630.0,0.15507692307692308,12334.812718498562,12334.813,6420.025178561122,6420.025,tension_capacity,tension_capacity,manter
45,chord_lacing,secondary,1,2,2,124.0071682515885,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,286.38228788599133,61.36763311842671,0.057242766154129855,0.057242766154129855,0.005451692014679034,0.005451692014679034,0.0,0.0,0.005451692014679034,210.0,0.0516923076923077,12334.812718498562,12334.813,6420.02517856112,6420.025,tension_capacity,tension_capacity,avaliar remoção/redução: baixa solicitação relativa
46,diagonal,primary,3,2,6,124.0071682515885,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,95.46076262866377,61.36763311842671,201.60543755341632,67.20181251780544,6.400172620743375,6.4001726207433745,0.0,0.0,6.400172620743375,630.0,0.15507692307692308,10.506841609561066,10.507,5.46860250090173,5.469,tension_capacity,tension_capacity,manter
47,chord_lacing,secondary,1,2,2,124.0071682515885,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,286.38228788599133,61.36763311842671,67.20181251780545,67.20181251780545,6.400172620743376,6.400172620743376,0.0,0.0,6.400172620743376,210.0,0.0516923076923077,10.506841609561066,10.507,5.468602500901729,5.469,tension_capacity,tension_capacity,avaliar remoção/redução: baixa solicitação relativa
48,diagonal,primary,3,2,6,148.66068747318505,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,114.43905057407761,73.5679610833356,118.78049993317431,39.59349997772477,3.7708095216880735,3.770809521688073,0.0,0.0,3.7708095216880735,630.0,0.15507692307692308,17.833199903954906,17.833,9.281826567662744,9.282,tension_capacity,tension_capacity,manter
49,chord_lacing,secondary,1,2,2,148.66068747318505,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,343.3171517222329,73.5679610833356,39.59349997772477,39.59349997772477,3.770809521688073,3.770809521688073,0.0,0.0,3.770809521688073,210.0,0.0516923076923077,17.83319990395491,17.833,9.281826567662744,9.282,tension_capacity,tension_capacity,avaliar remoção/redução: baixa solicitação relativa
50,diagonal,primary,3,2,6,177.5136927425913,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,136.65010438637282,87.84649567695395,84.3831668819793,28.127722293993102,2.6788306946660096,2.6788306946660096,0.0,0.0,2.6788306946660096,630.0,0.15507692307692308,25.102594252745046,25.103,13.06540203145004,13.065,tension_capacity,tension_capacity,manter
51,chord_lacing,secondary,1,2,2,177.5136927425913,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,409.9503131591184,87.84649567695395,28.127722293993102,28.127722293993102,2.6788306946660096,2.6788306946660096,0.0,0.0,2.6788306946660096,210.0,0.0516923076923077,25.10259425274505,25.103,13.06540203145004,13.065,tension_capacity,tension_capacity,avaliar remoção/redução: baixa solicitação relativa
52,diagonal,primary,3,2,6,208.8327347690278,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,160.75951417933857,103.34540197243193,66.04679316386355,22.01559772128785,2.0967235925036047,2.0967235925036047,0.0,0.0,2.0967235925036047,630.0,0.15507692307692308,32.07175244291738,32.072,16.69271053425218,16.693,tension_capacity,tension_capacity,manter
53,chord_lacing,secondary,1,2,2,208.8327347690278,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,482.27854253801576,103.34540197243193,22.01559772128785,22.01559772128785,2.0967235925036047,2.0967235925036047,0.0,0.0,2.0967235925036047,210.0,0.0516923076923077,32.071752442917386,32.072,16.69271053425218,16.693,tension_capacity,tension_capacity,avaliar remoção/redução: baixa solicitação relativa
54,diagonal,primary,3,3,9,241.66091947189145,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,186.03066254627868,119.59114020832199,114.06790067617482,38.02263355872494,3.621203196069042,3.621203196069042,0.0,0.0,3.621203196069042,1260.0,0.31015384615384617,18.56996041343323,18.570,9.665295788425755,9.665,tension_capacity,tension_capacity,manter
55,chord_lacing,secondary,1,3,3,241.66091947189145,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,558.091987638836,119.59114020832199,38.02263355872494,38.02263355872494,3.621203196069042,3.621203196069042,0.0,0.0,3.621203196069042,420.0,0.1033846153846154,18.56996041343323,18.570,9.665295788425755,9.665,tension_capacity,tension_capacity,avaliar remoção/redução: baixa solicitação relativa
