member_id,i,j,group,n_sticks,L_mm,A_mm2,Iy_mm4,Iz_mm4,Ky,Kz,N_N,sigma_axial_MPa,state
185,25,31,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,12.916024604946124,1.2300975814234403,tension
186,26,32,top_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,-12.916024604945587,-1.2300975814233892,compression
187,29,35,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,12.915979212979126,1.2300932583789643,tension
188,30,36,top_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,-12.915979212978288,-1.2300932583788846,compression
189,33,39,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,12.542070954801654,1.194482948076348,tension
190,34,40,top_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,-12.542070954800922,-1.1944829480762782,compression
191,37,43,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,12.11959524011367,1.1542471657251114,tension
192,38,44,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-12.327252265122073,-1.1740240252497212,compression
193,41,47,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,11.916999991242037,1.1349523801182893,tension
194,42,48,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-12.121185751259402,-1.1543986429770858,compression
195,45,51,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,10.58828025998754,1.0084076438083371,tension
196,46,52,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-10.769699749267668,-1.0256856904064446,compression
197,49,55,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,5.723612633644951,0.545105965109043,tension
198,50,56,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-5.821680955915745,-0.5544458053253091,compression
199,53,59,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,-0.3562652453693058,-0.03393002336850531,compression
200,54,60,top_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,0.3562652453699574,0.033930023368567375,tension
201,1,4,cross_frame_bracing,1,185.14258769331755,10.5,1.96875,42.875,1.0,1.0,0.14368292034006144,0.013684087651434423,tension
202,2,3,cross_frame_bracing,1,185.14258769331755,10.5,1.96875,42.875,1.0,1.0,-0.1981706677043741,-0.018873396924226106,compression
203,5,8,cross_frame_bracing,1,185.14258769331755,10.5,1.96875,42.875,1.0,1.0,-11.054325427452873,-1.0527928978526546,compression
204,6,7,cross_frame_bracing,1,185.14258769331755,10.5,1.96875,42.875,1.0,1.0,-5.338878023664372,-0.5084645736823211,compression
205,9,12,cross_frame_bracing,1,202.48456731316588,10.5,1.96875,42.875,1.0,1.0,-13.221491994360738,-1.2591897137486416,compression
206,10,11,cross_frame_bracing,1,202.48456731316588,10.5,1.96875,42.875,1.0,1.0,-8.227213723135186,-0.783544164108113,compression
207,13,16,cross_frame_bracing,1,224.5241882539855,10.5,1.96875,42.875,1.0,1.0,-12.735467779126205,-1.2129016932501149,compression
208,14,15,cross_frame_bracing,1,224.5241882539855,10.5,1.96875,42.875,1.0,1.0,-11.223292982135698,-1.0688850459176855,compression
209,17,20,cross_frame_bracing,1,250.0222212346557,10.5,1.96875,42.875,1.0,1.0,-12.404073041746344,-1.181340289690128,compression
210,18,19,cross_frame_bracing,1,250.0222212346557,10.5,1.96875,42.875,1.0,1.0,-12.147586678569017,-1.156913017006573,compression
211,21,24,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-12.295549298078614,-1.171004695055106,compression
212,22,23,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-11.700140898797263,-1.114299133218787,compression
213,25,28,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.85960489021475,-2.081867132401405,compression
214,26,27,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.33263746416224,-2.031679758491642,compression
215,29,32,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-14.397382124463405,-1.3711792499488957,compression
216,30,31,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-14.397446111787904,-1.3711853439798003,compression
217,33,36,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.33257907383066,-2.031674197507682,compression
218,34,35,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.8596632805468,-2.0818726933854097,compression
219,37,40,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-11.70007114979801,-1.1142924904569533,compression
