
"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
    36, "max",    -78.101,       0.000,     -0.000,      0.000,      0.000,      0.158
    36, "min",    -78.101,       0.000,     -0.000,      0.000,     -0.000,      0.079
    37, "max",   -114.610,      -0.001,     -0.146,      0.008,     22.434,      0.195
    37, "min",   -114.610,      -0.001,     -0.146,      0.008,    -21.497,     -0.009
    38, "max",    -71.019,      -0.004,     -0.120,      0.006,     18.640,      1.018
    38, "min",    -71.019,      -0.004,     -0.120,      0.006,    -17.228,     -0.188
    39, "max",    -83.848,      -0.004,     -0.102,      0.006,     12.242,      0.861
    39, "min",    -83.848,      -0.004,     -0.102,      0.006,    -13.286,     -0.085
    40, "max",   -109.706,      -0.006,     -0.172,      0.013,     17.409,      1.082
    40, "min",   -109.706,      -0.006,     -0.172,      0.013,    -17.021,     -0.192
    41, "max",   -149.435,      -0.013,     -0.466,      0.033,     33.561,      1.419
    41, "min",   -149.435,      -0.013,     -0.466,      0.033,    -36.403,     -0.535
    42, "max",   -238.348,      -0.034,     -0.011,      0.027,     14.883,      1.747
    42, "min",   -238.348,      -0.034,     -0.011,      0.027,     13.737,     -1.609
    43, "max",      0.930,       0.000,     -0.290,      0.013,     15.401,     -0.034
    43, "min",      0.930,       0.000,     -0.290,      0.013,    -13.577,     -0.071
    44, "max",      2.552,      -0.005,     -0.126,     -0.018,     15.985,      0.788
    44, "min",      2.552,      -0.005,     -0.126,     -0.018,     -1.821,      0.138
    45, "max",    223.595,       0.005,      0.352,     -0.015,     21.443,      1.545
    45, "min",    223.595,       0.005,      0.352,     -0.015,    -28.378,      0.833
    46, "max",    148.482,       0.010,      0.218,     -0.004,     21.311,      1.608
    46, "min",    148.482,       0.010,      0.218,     -0.004,    -18.056,     -0.183
    47, "max",    108.880,       0.005,      0.139,     -0.001,     16.183,      1.075
    47, "min",    108.880,       0.005,      0.139,     -0.001,    -14.847,     -0.129
    48, "max",     92.608,       0.004,      0.104,      0.002,     13.455,      0.835
    48, "min",     92.608,       0.004,      0.104,      0.002,    -14.671,     -0.159
    49, "max",    145.512,       0.003,      0.113,     -0.005,     18.558,      0.933
